"station","mm","dd","wday","mem","holiday","dur","avg","rev","n_AM","n_PM","n_tot","temp","rain"
149,"8",25,"Wednesday",0,0,214.8,17.9,47.22,6,3,12,26.6,0
149,"8",29,"Sunday",0,0,117.966666666667,14.7458333333333,27.695,2,5,8,19.3,6.5
149,"9",24,"Friday",1,0,582.816666666667,12.4003546099291,NA,11,33,47,18.3,26.5
149,"9",27,"Monday",0,0,190.416666666667,19.0416666666667,41.0625,5,2,10,13.6,3.1
149,"10",7,"Thursday",0,0,125.416666666667,12.5416666666667,31.3125,5,2,10,14.4,0
149,"10",25,"Monday",0,0,37.4833333333333,5.3547619047619,14.3725,4,3,7,6.5,0.5
149,"11",6,"Saturday",1,0,421.55,12.3985294117647,NA,7,21,34,5.5,0
150,"4",11,"Sunday",1,0,554.716666666667,14.5978070175439,NA,13,24,38,12.5,0
150,"5",7,"Friday",1,0,762.016666666667,13.8548484848485,NA,17,32,55,9.7,0
150,"5",8,"Saturday",0,0,83.4166666666667,11.9166666666667,21.2625,2,5,7,11.7,0
150,"5",24,"Monday",0,1,173.916666666667,19.3240740740741,37.3375,0,7,9,14.4,0
150,"5",25,"Tuesday",0,0,97.4833333333333,16.2472222222222,22.1225,1,5,6,19.7,0.5
150,"6",7,"Monday",1,0,818.866666666667,11.3731481481481,NA,14,44,72,27.6,0
150,"6",20,"Sunday",1,0,926.1,13.4217391304348,NA,13,48,69,21.8,0
150,"7",1,"Thursday",0,1,312.483333333333,16.4464912280702,70.6225,6,7,19,20.6,0
151,"4",9,"Friday",1,0,147.05,21.0071428571429,NA,1,5,7,15.9,0
151,"4",19,"Monday",0,0,29.4333333333333,14.7166666666667,6.915,0,2,2,12.3,0
151,"5",6,"Thursday",1,0,490.1,15.8096774193548,NA,11,17,31,10.2,0
151,"5",8,"Saturday",0,0,28.3833333333333,9.46111111111111,8.0075,0,1,3,11.7,0
151,"5",10,"Monday",1,0,539.966666666667,14.9990740740741,NA,11,22,36,11.4,0
151,"5",11,"Tuesday",0,0,29.15,14.575,6.8725,0,2,2,9.8,0
151,"6",25,"Friday",1,0,677.116666666667,14.1065972222222,NA,7,33,48,22.2,0
151,"7",4,"Sunday",1,0,829.3,14.5491228070175,NA,17,30,57,18.4,0
151,"7",14,"Wednesday",0,0,94.25,15.7083333333333,21.6375,3,1,6,24.2,0
151,"7",27,"Tuesday",0,0,52.1166666666667,13.0291666666667,12.8175,1,3,4,19,1.4
151,"8",3,"Tuesday",1,0,721.683333333333,14.728231292517,NA,14,28,49,21.5,0.2
151,"9",9,"Thursday",1,0,568.45,14.21125,NA,10,18,40,19.5,1.6
151,"9",16,"Thursday",1,0,681.616666666667,13.3650326797386,NA,16,25,51,16.9,0.2
151,"10",6,"Wednesday",1,0,601.45,13.075,NA,19,22,46,14.3,0
151,"10",7,"Thursday",0,0,85.35,17.07,19.0525,0,4,5,14.4,0
151,"11",1,"Monday",0,0,93.4333333333333,15.5722222222222,21.515,2,4,6,8,0
151,"11",11,"Thursday",1,0,240.1,12.6368421052632,NA,12,5,19,3.9,0
152,"5",5,"Wednesday",0,0,18.5166666666667,9.25833333333333,5.2775,0,2,2,10.7,0.8
152,"5",30,"Sunday",1,0,212.733333333333,10.6366666666667,NA,9,7,20,13.6,0.9
152,"6",23,"Wednesday",0,0,32.2833333333333,10.7611111111111,8.5925,1,1,3,14.5,0
152,"7",2,"Friday",1,0,360.6,11.6322580645161,NA,9,14,31,17.6,0
152,"7",9,"Friday",0,0,122.966666666667,15.3708333333333,28.445,1,4,8,18.1,0
152,"7",14,"Wednesday",1,0,414.783333333333,12.5691919191919,NA,7,19,33,24.2,0
152,"8",6,"Friday",1,0,342.833333333333,10.3888888888889,NA,8,17,33,25.1,0.2
152,"8",27,"Friday",0,0,203.4,22.6,41.76,3,4,9,21.2,0
152,"9",14,"Tuesday",0,0,158.566666666667,17.6185185185185,35.035,2,7,9,16.7,0
152,"9",27,"Monday",1,0,304.883333333333,13.8583333333333,NA,10,10,22,13.6,3.1
152,"9",30,"Thursday",0,0,61.25,15.3125,14.1875,2,0,4,11.3,0
152,"10",4,"Monday",0,0,49.4666666666667,12.3666666666667,12.42,0,4,4,12.2,0
152,"11",13,"Saturday",0,0,18.4166666666667,6.13888888888889,6.5125,1,2,3,5.3,2.5
153,"4",14,"Wednesday",1,0,369.6,17.6,NA,9,12,21,12.4,0
153,"5",8,"Saturday",1,0,334.433333333333,13.9347222222222,NA,10,13,24,11.7,0
153,"5",11,"Tuesday",1,0,299.4,15.7578947368421,NA,10,8,19,9.8,0
153,"6",13,"Sunday",0,0,212.833333333333,19.3484848484848,45.675,4,6,11,21.6,2.8
153,"6",22,"Tuesday",1,0,472.066666666667,13.487619047619,NA,14,12,35,15.5,0.2
153,"6",23,"Wednesday",0,0,55.6833333333333,11.1366666666667,14.6025,1,2,5,14.5,0
153,"7",10,"Saturday",0,0,168,21,35.2,1,5,8,19,0
153,"7",12,"Monday",1,0,484.183333333333,12.7416666666667,NA,16,15,38,23.1,0
153,"7",31,"Saturday",0,0,113.166666666667,18.8611111111111,24.475,2,4,6,17.9,0
153,"8",7,"Saturday",0,0,179.95,22.49375,36.9925,1,4,8,23.6,0.8
153,"9",9,"Thursday",1,0,671.55,16.78875,NA,14,16,40,19.5,1.6
153,"9",19,"Sunday",1,0,764,13.8909090909091,NA,19,26,55,15.4,0
153,"10",5,"Tuesday",1,0,494.7,12.6846153846154,NA,9,18,39,13.1,0
153,"10",7,"Thursday",0,0,108.366666666667,18.0611111111111,23.755,1,3,6,14.4,0
154,"4",20,"Tuesday",1,0,249.166666666667,12.4583333333333,NA,6,14,20,7.7,0.4
154,"4",21,"Wednesday",1,0,132.6,10.2,NA,7,5,13,1.1,6.2
154,"5",6,"Thursday",1,0,401.316666666667,12.1611111111111,NA,14,17,33,10.2,0
154,"5",25,"Tuesday",1,0,561.7,15.1810810810811,NA,10,24,37,19.7,0.5
